Semitic,att_rel_semitic_paganism,pagan
Paganism,cha_rel_paganism,pagan
Zoroastrianism,att_rel_east_zoroastrian,zoroastrian
Manichaeism,att_rel_east_manichaeism,manichean
Tengriism,cha_rel_tengrism,tengri_pagan
Slavic,att_rel_pag_slavic,slavic_pagan
Judaism,cha_rel_judaism,jewish
Arian,att_rel_chr_arian,catholic
Hellenic,att_rel_pag_roman,hellenic_pagan
Celtic,att_rel_pag_celtic,pagan
Judaism,att_rel_judaism,jewish
Tengriism,att_rel_pag_tengri,tengri_pagan
Coptic,att_rel_church_east,miaphysite
Germanic,att_rel_pag_germanic,norse_pagan
Christianity,cha_rel_christianity,catholic
Islam,cha_rel_islam,sunni
Minor_Religions,att_rel_other,pagan
Catholic,att_rel_chr_catholic,catholic
Orthodox,att_rel_chr_orthodox,orthodox
